LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,4.42,0.00,0.00,0.00,1.77,0.00,36.45,0.00,0.00,0.00,42.64
Developed (amenity),0.00,0.70,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,1.52
Developed (communities),0.00,0.91,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.91
Developed (industry),0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.00,3.56,0.00,6.92,0.00,0.00,0.00,10.48
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,0.00,64.64,0.00,0.00,0.00,0.00,0.00,64.64
Lowland valleys (open),0.00,0.00,0.00,0.00,2.09,63.10,0.00,0.00,0.00,0.00,0.00,65.19
Upland (grassland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.83
Upland (moorland),0.00,0.00,0.00,0.00,0.00,12.08,0.00,0.00,0.00,0.00,1.90,13.98
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,2.60
Upland (wooded),0.00,0.00,0.00,0.00,0.00,6.08,0.00,0.00,0.00,0.00,0.00,6.08
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.21,0.00,0.00,0.00,6.21
Total,0.00,6.40,0.00,0.00,2.09,155.05,0.00,52.18,0.00,0.00,2.73,218.45
