LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,4.51,2.03,0.00,0.00,0.00,0.00,0.48,7.02
Developed (industry),0.00,0.33,0.11,0.00,0.00,0.36,0.00,0.83,0.00,0.00,0.00,1.63
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,6.65,0.00,0.00,0.00,0.00,0.00,0.00,6.65
Lowland valleys (hedgerow),0.00,0.00,0.00,10.64,0.00,1.60,0.00,0.00,0.00,0.00,0.00,12.24
Lowland valleys (open),0.00,0.00,0.00,23.67,31.92,0.00,0.00,0.00,0.00,0.00,0.00,55.59
Upland (grassland),0.00,12.84,0.00,50.41,32.25,28.21,0.00,0.31,22.69,0.00,23.00,169.71
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.51,0.00,0.00,15.71,528.22
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,1.14
Upland (wooded hills),0.00,0.00,0.00,0.00,16.23,0.00,0.00,0.00,0.00,0.00,0.00,16.23
Upland (wooded),0.00,99.79,0.00,183.15,120.20,65.34,0.00,7.02,64.27,0.00,3.43,543.20
Water (inland),0.00,1.81,0.00,0.00,1.33,0.62,0.00,4.52,0.00,0.00,0.27,8.55
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,0.00,114.77,0.11,267.87,213.09,98.16,0.00,526.33,86.96,0.00,42.89,1350.18
