LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.33,0.15,0.00,0.00,0.00,0.00,0.04,0.52
Developed (industry),0.00,0.02,0.01,0.00,0.00,0.03,0.00,0.06,0.00,0.00,0.00,0.12
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.49
Lowland valleys (hedgerow),0.00,0.00,0.00,0.79,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.91
Lowland valleys (open),0.00,0.00,0.00,1.75,2.36,0.00,0.00,0.00,0.00,0.00,0.00,4.11
Upland (grassland),0.00,0.95,0.00,3.73,2.39,2.09,0.00,0.02,1.68,0.00,1.70,12.56
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.96,0.00,0.00,1.16,39.12
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.08
Upland (wooded hills),0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,1.20
Upland (wooded),0.00,7.39,0.00,13.56,8.90,4.84,0.00,0.52,4.76,0.00,0.25,40.22
Water (inland),0.00,0.13,0.00,0.00,0.10,0.05,0.00,0.33,0.00,0.00,0.02,0.63
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
