LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Developed (communities),0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.02,0.00,0.00,1.40,2.64
Developed (industry),0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96
Lowland (wooded & wetland),0.00,0.00,0.00,0.01,0.06,3.07,0.00,0.52,2.53,0.00,0.00,6.19
Lowland valleys (hedgerow),0.00,0.00,0.00,0.12,53.67,5.60,0.00,0.00,0.00,0.00,1.24,60.63
Lowland valleys (open),0.00,0.25,0.00,22.78,13.15,5.28,0.00,0.00,0.00,0.00,0.00,41.46
Upland (grassland),0.00,4.28,0.16,35.49,2.66,21.68,0.00,0.00,0.00,0.00,12.61,76.88
Upland (moorland),0.00,16.15,22.23,0.00,0.00,27.38,0.00,44.43,0.00,0.00,23.16,133.35
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10
Upland (wooded hills),0.00,0.00,0.00,9.54,0.00,0.00,0.00,7.05,0.00,0.00,0.00,16.59
Upland (wooded),0.00,5.21,0.00,22.66,0.91,4.92,0.00,0.54,0.00,0.00,15.03,49.27
Water (inland),0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.18
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,0.00,27.85,22.39,90.60,70.45,69.34,0.00,52.66,2.53,0.00,53.44,389.26
