LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.01,0.00,0.00,0.36,0.68
Developed (industry),0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.02,0.79,0.00,0.13,0.65,0.00,0.00,1.59
Lowland valleys (hedgerow),0.00,0.00,0.00,0.03,13.79,1.44,0.00,0.00,0.00,0.00,0.32,15.58
Lowland valleys (open),0.00,0.06,0.00,5.85,3.38,1.36,0.00,0.00,0.00,0.00,0.00,10.65
Upland (grassland),0.00,1.10,0.04,9.12,0.68,5.57,0.00,0.00,0.00,0.00,3.24,19.75
Upland (moorland),0.00,4.15,5.71,0.00,0.00,7.03,0.00,11.41,0.00,0.00,5.95,34.25
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03
Upland (wooded hills),0.00,0.00,0.00,2.45,0.00,0.00,0.00,1.81,0.00,0.00,0.00,4.26
Upland (wooded),0.00,1.34,0.00,5.82,0.23,1.26,0.00,0.14,0.00,0.00,3.86,12.65
Water (inland),0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.05
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
