LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,22.03,20.61,0.00,0.00,0.00,42.64
Developed (amenity),0.00,0.00,0.82,0.70,0.00,1.52
Developed (communities),0.52,0.25,1.37,1.77,0.00,3.91
Developed (industry),0.00,0.00,0.00,0.37,0.00,0.37
Lowland (wooded & wetland),0.00,1.97,8.51,0.00,0.00,10.48
Lowland valleys (hedgerow),0.00,55.82,8.82,0.00,0.00,64.64
Lowland valleys (open),0.00,3.74,61.45,0.00,0.00,65.19
Upland (grassland),0.00,0.83,0.00,0.00,0.00,0.83
Upland (moorland),1.90,6.96,5.12,0.00,0.00,13.98
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,2.60,0.00,0.00,0.00,2.60
Upland (wooded),0.00,6.08,0.00,0.00,0.00,6.08
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),5.24,0.97,0.00,0.00,0.00,6.21
Total,29.69,99.83,86.09,2.84,0.00,218.45
