LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0,4.42,0,0,0,1.77,0,36.45,0,0,0,42.64
Developed (amenity),0,0.7,0,0,0,0.82,0,0,0,0,0,1.52
Developed (communities),0,0.91,0,0,0,3,0,0,0,0,0,3.91
Developed (industry),0,0.37,0,0,0,0,0,0,0,0,0,0.37
Lowland (wooded & wetland),0,0,0,0,0,3.56,0,6.92,0,0,0,10.48
Lowland valleys (hedgerow),0,0,0,0,0,64.64,0,0,0,0,0,64.64
Lowland valleys (open),0,0,0,0,2.09,63.1,0,0,0,0,0,65.19
Upland (grassland),0,0,0,0,0,0,0,0,0,0,0.83,0.83
Upland (moorland),0,0,0,0,0,12.08,0,0,0,0,1.9,13.98
Upland (rock),0,0,0,0,0,0,0,0,0,0,0,0
Upland (wooded hills),0,0,0,0,0,0,0,2.6,0,0,0,2.6
Upland (wooded),0,0,0,0,0,6.08,0,0,0,0,0,6.08
Water (inland),0,0,0,0,0,0,0,0,0,0,0,0
Water (sea),0,0,0,0,0,0,0,6.209999999999999,0,0,0,6.209999999999999
Total,0,6.4,0,0,2.09,155.05,0,52.18,0,0,2.73,218.45
