LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,2.02,0.00,0.00,0.00,0.81,0.00,16.69,0.00,0.00,0.00,19.52
Developed (amenity),0.00,0.32,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.70
Developed (communities),0.00,0.42,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,1.79
Developed (industry),0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.00,1.63,0.00,3.17,0.00,0.00,0.00,4.80
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,0.00,29.59,0.00,0.00,0.00,0.00,0.00,29.59
Lowland valleys (open),0.00,0.00,0.00,0.00,0.96,28.89,0.00,0.00,0.00,0.00,0.00,29.85
Upland (grassland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38
Upland (moorland),0.00,0.00,0.00,0.00,0.00,5.53,0.00,0.00,0.00,0.00,0.87,6.40
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00,0.00,0.00,1.19
Upland (wooded),0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,2.78
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,2.84
