LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0,0,0,0,0,0,0,0,0,0,0,0
Developed (amenity),0,0,0,0,0,0.01,0,0,0,0,0,0.01
Developed (communities),0,0,0,0,0,1.22,0,0.02,0,0,1.4000000000000001,2.64
Developed (industry),0,1.96,0,0,0,0,0,0,0,0,0,1.96
Lowland (wooded & wetland),0,0,0,0.01,0.06,3.07,0,0.52,2.53,0,0,6.1899999999999995
Lowland valleys (hedgerow),0,0,0,0.12,53.67,5.6,0,0,0,0,1.24,60.63
Lowland valleys (open),0,0.25,0,22.78,13.149999999999999,5.279999999999999,0,0,0,0,0,41.46
Upland (grassland),0,4.28,0.16,35.49,2.66,21.68,0,0,0,0,12.610000000000001,76.88000000000001
Upland (moorland),0,16.15,22.23,0,0,27.38,0,44.43,0,0,23.16,133.35
Upland (rock),0,0,0,0,0,0,0,0.1,0,0,0,0.1
Upland (wooded hills),0,0,0,9.54,0,0,0,7.05,0,0,0,16.59
Upland (wooded),0,5.21,0,22.66,0.91,4.92,0,0.54,0,0,15.03,49.269999999999996
Water (inland),0,0,0,0,0,0.18,0,0,0,0,0,0.18
Water (sea),0,0,0,0,0,0,0,0,0,0,0,0
Total,0,27.849999999999998,22.39,90.60000000000001,70.45,69.34,0,52.66,2.53,0,53.44,389.26
