LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0,0,0,0,0,0,0,0,0,0,0,0
Developed (amenity),0,0,0,0,0,0,0,0,0,0,0,0
Developed (communities),0,0,0,0,0,0.31,0,0.01,0,0,0.36,0.6799999999999999
Developed (industry),0,0.5,0,0,0,0,0,0,0,0,0,0.5
Lowland (wooded & wetland),0,0,0,0,0.02,0.79,0,0.13,0.65,0,0,1.59
Lowland valleys (hedgerow),0,0,0,0.03,13.79,1.44,0,0,0,0,0.32,15.579999999999998
Lowland valleys (open),0,0.06,0,5.85,3.38,1.36,0,0,0,0,0,10.65
Upland (grassland),0,1.1,0.04,9.12,0.68,5.57,0,0,0,0,3.24,19.75
Upland (moorland),0,4.15,5.71,0,0,7.03,0,11.41,0,0,5.95,34.25
Upland (rock),0,0,0,0,0,0,0,0.03,0,0,0,0.03
Upland (wooded hills),0,0,0,2.45,0,0,0,1.81,0,0,0,4.26
Upland (wooded),0,1.34,0,5.82,0.23,1.26,0,0.14,0,0,3.86,12.65
Water (inland),0,0,0,0,0,0.05,0,0,0,0,0,0.05
Water (sea),0,0,0,0,0,0,0,0,0,0,0,0
