LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.22,0.00,0.00,0.00,0.00,0.00,50.23,0.00,0.00,0.00,50.45
Developed (amenity),0.00,1.04,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,1.25
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.34,0.82,0.00,0.00,0.00,0.00,1.16
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.00,7.44,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,8.53
Lowland valleys (hedgerow),0.00,0.00,0.00,11.38,0.00,7.06,0.00,0.00,0.00,0.00,0.00,18.44
Lowland valleys (open),0.00,0.00,0.00,0.00,0.00,91.61,0.00,0.84,0.00,0.00,0.00,92.45
Upland (grassland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.03,0.00,0.00,0.00,14.03
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,0.00,8.70,0.00,11.38,0.00,99.22,0.82,66.19,0.00,0.00,0.00,186.31
