LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.12,0.00,0.00,0.00,0.00,0.00,26.96,0.00,0.00,0.00,27.08
Developed (amenity),0.00,0.56,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.67
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.18,0.44,0.00,0.00,0.00,0.00,0.62
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.00,3.99,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,4.58
Lowland valleys (hedgerow),0.00,0.00,0.00,6.11,0.00,3.79,0.00,0.00,0.00,0.00,0.00,9.90
Lowland valleys (open),0.00,0.00,0.00,0.00,0.00,49.17,0.00,0.45,0.00,0.00,0.00,49.62
Upland (grassland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.53,0.00,0.00,0.00,7.53
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
