LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.16,0.00,11.69,0.00,0.00,0.00,11.85
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,1.34
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,0.00,1.38
Lowland (wooded & wetland),0.00,0.00,0.00,0.31,0.00,1.63,0.00,0.00,0.00,0.00,0.00,1.94
Lowland valleys (hedgerow),3.79,0.00,0.00,19.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.34
Lowland valleys (open),0.00,0.00,0.00,0.00,0.00,49.25,0.00,0.00,0.00,0.00,1.01,50.26
Upland (grassland),0.00,0.00,0.00,0.00,0.00,11.11,0.00,1.41,0.00,0.00,33.21,45.73
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,19.31,19.80
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.68,3.68
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,3.79,0.00,0.00,19.86,0.00,63.49,0.00,14.97,0.00,0.00,57.21,159.32
