LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.10,0.00,7.34,0.00,0.00,0.00,7.44
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.84
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.87
Lowland (wooded & wetland),0.00,0.00,0.00,0.19,0.00,1.02,0.00,0.00,0.00,0.00,0.00,1.21
Lowland valleys (hedgerow),2.38,0.00,0.00,12.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.65
Lowland valleys (open),0.00,0.00,0.00,0.00,0.00,30.91,0.00,0.00,0.00,0.00,0.63,31.54
Upland (grassland),0.00,0.00,0.00,0.00,0.00,6.97,0.00,0.89,0.00,0.00,20.84,28.70
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,12.12,12.43
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,2.31
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
