LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.02,0.00,0.00,1.41,36.43
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.82
Developed (communities),0.02,2.14,0.00,0.00,1.38,1.68,0.00,0.00,0.00,0.00,1.94,7.16
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),13.61,0.00,0.00,3.82,13.80,15.32,0.00,0.00,0.00,0.00,0.00,46.55
Lowland valleys (hedgerow),66.53,0.00,0.00,32.94,25.68,0.00,0.00,0.00,0.00,0.00,0.00,125.15
Lowland valleys (open),127.17,0.00,0.00,10.63,51.77,33.36,0.00,0.00,0.00,0.00,1.62,224.55
Upland (grassland),31.53,47.94,0.00,0.00,27.26,0.00,0.00,14.31,9.33,0.00,0.00,130.37
Upland (moorland),9.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.84
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),8.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,0.00,0.00,0.00,18.19
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,257.56,50.08,0.00,47.39,119.89,50.36,0.00,68.34,9.33,0.00,4.97,607.92
