LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.56,0.00,0.00,0.00,0.00,0.00,8.75,0.00,0.00,43.05,52.36
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,1.84,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00,0.00,7.57
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05
Lowland (wooded & wetland),0.00,7.16,0.00,0.00,7.01,8.82,0.00,0.00,0.00,0.00,19.96,42.95
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,2.23,69.80,0.00,0.00,0.00,0.00,51.59,123.62
Lowland valleys (open),0.00,20.83,0.00,0.00,23.35,60.48,0.00,0.90,0.00,0.00,20.58,126.14
Upland (grassland),0.00,29.45,0.00,0.00,30.58,58.69,0.00,0.00,0.00,0.00,202.52,321.24
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,642.95,0.00,0.00,251.05,894.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.12,0.00,0.00,0.00,139.12
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.57,0.00,0.00,0.00,238.57
Upland (wooded),0.00,0.00,0.00,22.62,2.41,86.32,0.00,0.03,0.00,0.00,49.04,160.42
Water (inland),0.00,0.00,0.00,0.00,0.00,20.05,0.00,3.32,0.00,0.00,0.00,23.37
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,9.59,9.92
Total,0.00,59.84,0.00,22.62,65.58,309.89,0.00,1034.02,0.00,0.00,647.38,2139.33
