LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,2.01,2.45
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.09,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.36
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.00,0.33,0.00,0.00,0.33,0.41,0.00,0.00,0.00,0.00,0.93,2.00
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,0.10,3.26,0.00,0.00,0.00,0.00,2.41,5.77
Lowland valleys (open),0.00,0.97,0.00,0.00,1.09,2.83,0.00,0.04,0.00,0.00,0.96,5.89
Upland (grassland),0.00,1.38,0.00,0.00,1.43,2.74,0.00,0.00,0.00,0.00,9.47,15.02
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.05,0.00,0.00,11.73,41.78
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,6.50
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.15,0.00,0.00,0.00,11.15
Upland (wooded),0.00,0.00,0.00,1.06,0.11,4.03,0.00,0.00,0.00,0.00,2.29,7.49
Water (inland),0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.16,0.00,0.00,0.00,1.10
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.45,0.47
