LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03
Developed (industry),0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.38,0.00,0.00,25.38
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,10.37,0.00,0.00,0.00,0.00,0.00,0.00,10.37
Lowland valleys (open),0.00,0.00,0.00,2.90,4.04,0.00,0.00,0.00,0.00,0.00,0.00,6.94
Upland (grassland),0.00,0.00,0.00,19.34,9.20,0.00,0.00,0.00,0.00,0.00,0.00,28.54
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,5.86,0.00,39.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.95
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,1.04
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total,0.00,5.89,0.00,61.33,23.61,0.03,0.00,1.04,25.38,0.00,0.00,117.28
