LMP14_D_S,Clawdd/Hedgebanks,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,No Data,None,Overgrown Hedges,Slate Fences,Stone Walls,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03
Developed (industry),0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Lowland (wooded & wetland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.64,0.00,0.00,21.64
Lowland valleys (hedgerow),0.00,0.00,0.00,0.00,8.84,0.00,0.00,0.00,0.00,0.00,0.00,8.84
Lowland valleys (open),0.00,0.00,0.00,2.47,3.44,0.00,0.00,0.00,0.00,0.00,0.00,5.91
Upland (grassland),0.00,0.00,0.00,16.49,7.84,0.00,0.00,0.00,0.00,0.00,0.00,24.33
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,5.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.33
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.89
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
