LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,22.03,20.61,0,0,0,42.64
Developed (amenity),0,0,0.82,0.7,0,1.52
Developed (communities),0.52,0.25,1.37,1.77,0,3.91
Developed (industry),0,0,0,0.37,0,0.37
Lowland (wooded & wetland),0,1.97,8.51,0,0,10.48
Lowland valleys (hedgerow),0,55.82,8.82,0,0,64.64
Lowland valleys (open),0,3.74,61.45,0,0,65.19
Upland (grassland),0,0.83,0,0,0,0.83
Upland (moorland),1.9,6.96,5.12,0,0,13.98
Upland (rock),0,0,0,0,0,0
Upland (wooded hills),0,2.6,0,0,0,2.6
Upland (wooded),0,6.08,0,0,0,6.08
Water (inland),0,0,0,0,0,0
Water (sea),5.239999999999999,0.97,0,0,0,6.209999999999999
Total,29.69,99.83,86.09,2.84,0,218.45
