LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,10.08,9.43,0.00,0.00,0.00,19.51
Developed (amenity),0.00,0.00,0.38,0.32,0.00,0.70
Developed (communities),0.24,0.11,0.63,0.81,0.00,1.79
Developed (industry),0.00,0.00,0.00,0.17,0.00,0.17
Lowland (wooded & wetland),0.00,0.90,3.90,0.00,0.00,4.80
Lowland valleys (hedgerow),0.00,25.55,4.04,0.00,0.00,29.59
Lowland valleys (open),0.00,1.71,28.13,0.00,0.00,29.84
Upland (grassland),0.00,0.38,0.00,0.00,0.00,0.38
Upland (moorland),0.87,3.19,2.34,0.00,0.00,6.40
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,1.19,0.00,0.00,0.00,1.19
Upland (wooded),0.00,2.78,0.00,0.00,0.00,2.78
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),2.40,0.44,0.00,0.00,0.00,2.84
