LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,1.33,4.52,1.17,0.00,7.02
Developed (industry),0.00,0.00,1.16,0.47,0.00,1.63
Lowland (wooded & wetland),0.00,0.25,6.40,0.00,0.00,6.65
Lowland valleys (hedgerow),8.80,1.89,1.55,0.00,0.00,12.24
Lowland valleys (open),0.00,52.83,2.76,0.00,0.00,55.59
Upland (grassland),8.51,109.46,51.44,0.30,0.00,169.71
Upland (moorland),425.17,95.84,7.21,0.00,0.00,528.22
Upland (rock),0.00,0.00,1.14,0.00,0.00,1.14
Upland (wooded hills),0.00,16.23,0.00,0.00,0.00,16.23
Upland (wooded),90.81,342.63,109.53,0.23,0.00,543.20
Water (inland),6.32,2.01,0.22,0.00,0.00,8.55
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
Total,539.61,622.47,185.93,2.17,0.00,1350.18
