LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.10,0.33,0.09,0.00,0.52
Developed (industry),0.00,0.00,0.09,0.03,0.00,0.12
Lowland (wooded & wetland),0.00,0.02,0.47,0.00,0.00,0.49
Lowland valleys (hedgerow),0.65,0.14,0.11,0.00,0.00,0.90
Lowland valleys (open),0.00,3.91,0.20,0.00,0.00,4.11
Upland (grassland),0.63,8.11,3.81,0.02,0.00,12.57
Upland (moorland),31.49,7.10,0.53,0.00,0.00,39.12
Upland (rock),0.00,0.00,0.08,0.00,0.00,0.08
Upland (wooded hills),0.00,1.20,0.00,0.00,0.00,1.20
Upland (wooded),6.73,25.38,8.11,0.02,0.00,40.24
Water (inland),0.47,0.15,0.02,0.00,0.00,0.64
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
