LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.01,0.00,0.00,0.01
Developed (communities),0.00,1.11,1.31,0.22,0.00,2.64
Developed (industry),0.00,0.00,0.40,1.56,0.00,1.96
Lowland (wooded & wetland),0.00,2.02,4.17,0.00,0.00,6.19
Lowland valleys (hedgerow),47.24,9.69,3.70,0.00,0.00,60.63
Lowland valleys (open),0.00,34.81,6.65,0.00,0.00,41.46
Upland (grassland),11.76,35.19,29.93,0.00,0.00,76.88
Upland (moorland),61.54,71.81,0.00,0.00,0.00,133.35
Upland (rock),0.00,0.10,0.00,0.00,0.00,0.10
Upland (wooded hills),9.54,0.76,0.00,6.29,0.00,16.59
Upland (wooded),38.82,4.43,1.97,4.05,0.00,49.27
Water (inland),0.00,0.18,0.00,0.00,0.00,0.18
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
Total,168.90,160.10,48.14,12.12,0.00,389.26
