LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.29,0.34,0.06,0.00,0.69
Developed (industry),0.00,0.00,0.10,0.40,0.00,0.50
Lowland (wooded & wetland),0.00,0.52,1.07,0.00,0.00,1.59
Lowland valleys (hedgerow),12.14,2.49,0.95,0.00,0.00,15.58
Lowland valleys (open),0.00,8.94,1.71,0.00,0.00,10.65
Upland (grassland),3.02,9.04,7.69,0.00,0.00,19.75
Upland (moorland),15.81,18.45,0.00,0.00,0.00,34.26
Upland (rock),0.00,0.03,0.00,0.00,0.00,0.03
Upland (wooded hills),2.45,0.20,0.00,1.62,0.00,4.27
Upland (wooded),9.97,1.14,0.51,1.04,0.00,12.66
Water (inland),0.00,0.05,0.00,0.00,0.00,0.05
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
