LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,16.68,33.77,0.00,0.00,0.00,50.45
Developed (amenity),0.00,0.21,1.04,0.00,0.00,1.25
Developed (communities),0.00,0.00,0.00,0.34,0.82,1.16
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.00,8.53,0.00,0.00,0.00,8.53
Lowland valleys (hedgerow),0.00,4.39,14.05,0.00,0.00,18.44
Lowland valleys (open),0.00,84.59,7.86,0.00,0.00,92.45
Upland (grassland),3.25,10.78,0.00,0.00,0.00,14.03
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
Total,19.93,142.27,22.95,0.34,0.82,186.31
