LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,8.95,18.13,0.00,0.00,0.00,27.08
Developed (amenity),0.00,0.11,0.56,0.00,0.00,0.67
Developed (communities),0.00,0.00,0.00,0.18,0.44,0.62
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.00,4.58,0.00,0.00,0.00,4.58
Lowland valleys (hedgerow),0.00,2.36,7.54,0.00,0.00,9.90
Lowland valleys (open),0.00,45.40,4.22,0.00,0.00,49.62
Upland (grassland),1.74,5.79,0.00,0.00,0.00,7.53
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.00,0.00,0.00,0.00,0.00,0.00
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
