LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,5.22,4.21,2.42,0,0,11.85
Developed (amenity),0,0,0,0,0,0
Developed (communities),0,0,1.3399999999999999,0,0,1.3399999999999999
Developed (industry),0,0,1.38,0,0,1.38
Lowland (wooded & wetland),0,0,1.94,0,0,1.94
Lowland valleys (hedgerow),3.79,0,19.55,0,0,23.34
Lowland valleys (open),1.01,18.66,30.59,0,0,50.26
Upland (grassland),2.18,18.09,25.46,0,0,45.730000000000004
Upland (moorland),18.72,1.08,0,0,0,19.799999999999997
Upland (rock),0,0,0,0,0,0
Upland (wooded hills),0,0,0,0,0,0
Upland (wooded),0,3.68,0,0,0,3.68
Water (inland),0,0,0,0,0,0
Water (sea),0,0,0,0,0,0
Total,30.919999999999998,45.72,82.68,0,0,159.32
