LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,3.28,2.64,1.52,0,0,7.4399999999999995
Developed (amenity),0,0,0,0,0,0
Developed (communities),0,0,0.84,0,0,0.84
Developed (industry),0,0,0.87,0,0,0.87
Lowland (wooded & wetland),0,0,1.22,0,0,1.22
Lowland valleys (hedgerow),2.38,0,12.27,0,0,14.649999999999999
Lowland valleys (open),0.63,11.71,19.2,0,0,31.54
Upland (grassland),1.37,11.35,15.98,0,0,28.7
Upland (moorland),11.75,0.68,0,0,0,12.43
Upland (rock),0,0,0,0,0,0
Upland (wooded hills),0,0,0,0,0,0
Upland (wooded),0,2.31,0,0,0,2.31
Water (inland),0,0,0,0,0,0
Water (sea),0,0,0,0,0,0
