LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,25.00,9.10,2.33,0.00,0.00,36.43
Developed (amenity),0.00,0.00,0.82,0.00,0.00,0.82
Developed (communities),0.00,3.62,0.16,3.38,0.00,7.16
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),1.85,32.61,12.09,0.00,0.00,46.55
Lowland valleys (hedgerow),0.00,66.89,58.26,0.00,0.00,125.15
Lowland valleys (open),12.26,102.01,90.47,19.81,0.00,224.55
Upland (grassland),18.67,82.52,29.18,0.00,0.00,130.37
Upland (moorland),9.84,0.00,0.00,0.00,0.00,9.84
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,8.86,0.00,0.00,0.00,8.86
Water (inland),18.19,0.00,0.00,0.00,0.00,18.19
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
Total,85.81,305.61,193.31,23.19,0.00,607.92
