LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,4.11,1.50,0.38,0.00,0.00,5.99
Developed (amenity),0.00,0.00,0.13,0.00,0.00,0.13
Developed (communities),0.00,0.60,0.03,0.56,0.00,1.19
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.30,5.36,1.99,0.00,0.00,7.65
Lowland valleys (hedgerow),0.00,11.00,9.58,0.00,0.00,20.58
Lowland valleys (open),2.02,16.78,14.88,3.26,0.00,36.94
Upland (grassland),3.07,13.57,4.80,0.00,0.00,21.44
Upland (moorland),1.62,0.00,0.00,0.00,0.00,1.62
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded),0.00,1.46,0.00,0.00,0.00,1.46
Water (inland),2.99,0.00,0.00,0.00,0.00,2.99
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
