LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,0.04,28.57,23.75,0.00,0.00,52.36
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.30,4.92,2.35,0.00,7.57
Developed (industry),0.00,0.05,0.00,0.00,0.00,0.05
Lowland (wooded & wetland),0.48,35.87,6.60,0.00,0.00,42.95
Lowland valleys (hedgerow),4.67,79.83,39.12,0.00,0.00,123.62
Lowland valleys (open),0.00,110.02,16.12,0.00,0.00,126.14
Upland (grassland),1.33,228.97,90.94,0.00,0.00,321.24
Upland (moorland),328.59,484.10,81.31,0.00,0.00,894.00
Upland (rock),139.12,0.00,0.00,0.00,0.00,139.12
Upland (wooded hills),0.00,78.84,159.73,0.00,0.00,238.57
Upland (wooded),0.00,40.52,119.90,0.00,0.00,160.42
Water (inland),0.00,3.32,20.05,0.00,0.00,23.37
Water (sea),9.92,0.00,0.00,0.00,0.00,9.92
Total,484.15,1090.39,562.44,2.35,0.00,2139.33
