LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,0.00,1.34,1.11,0.00,0.00,2.45
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.01,0.23,0.11,0.00,0.35
Developed (industry),0.00,0.00,0.00,0.00,0.00,0.00
Lowland (wooded & wetland),0.02,1.68,0.31,0.00,0.00,2.01
Lowland valleys (hedgerow),0.22,3.73,1.83,0.00,0.00,5.78
Lowland valleys (open),0.00,5.14,0.75,0.00,0.00,5.89
Upland (grassland),0.06,10.70,4.25,0.00,0.00,15.01
Upland (moorland),15.36,22.63,3.80,0.00,0.00,41.79
Upland (rock),6.50,0.00,0.00,0.00,0.00,6.50
Upland (wooded hills),0.00,3.69,7.47,0.00,0.00,11.16
Upland (wooded),0.00,1.89,5.60,0.00,0.00,7.49
Water (inland),0.00,0.16,0.94,0.00,0.00,1.10
Water (sea),0.46,0.00,0.00,0.00,0.00,0.46
