LMP14_D_S,Outstanding,High,Moderate,Low,No Data,Total_Km2
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.03,0.00,0.00,0.03
Developed (industry),0.00,0.00,0.00,0.03,0.00,0.03
Lowland (wooded & wetland),25.38,0.00,0.00,0.00,0.00,25.38
Lowland valleys (hedgerow),0.00,10.37,0.00,0.00,0.00,10.37
Lowland valleys (open),1.43,5.51,0.00,0.00,0.00,6.94
Upland (grassland),0.00,16.92,11.62,0.00,0.00,28.54
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),16.68,28.27,0.00,0.00,0.00,44.95
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),1.04,0.00,0.00,0.00,0.00,1.04
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
Total,44.53,61.07,11.65,0.03,0.00,117.28
