LMP14_D_S,Outstanding,High,Moderate,Low,No Data,% Total
Coastal edge,0.00,0.00,0.00,0.00,0.00,0.00
Developed (amenity),0.00,0.00,0.00,0.00,0.00,0.00
Developed (communities),0.00,0.00,0.03,0.00,0.00,0.03
Developed (industry),0.00,0.00,0.00,0.03,0.00,0.03
Lowland (wooded & wetland),21.64,0.00,0.00,0.00,0.00,21.64
Lowland valleys (hedgerow),0.00,8.84,0.00,0.00,0.00,8.84
Lowland valleys (open),1.22,4.70,0.00,0.00,0.00,5.92
Upland (grassland),0.00,14.43,9.91,0.00,0.00,24.34
Upland (moorland),0.00,0.00,0.00,0.00,0.00,0.00
Upland (rock),0.00,0.00,0.00,0.00,0.00,0.00
Upland (wooded hills),14.22,24.10,0.00,0.00,0.00,38.32
Upland (wooded),0.00,0.00,0.00,0.00,0.00,0.00
Water (inland),0.89,0.00,0.00,0.00,0.00,0.89
Water (sea),0.00,0.00,0.00,0.00,0.00,0.00
